slug,name,ats,board_token,careers_url,website,country_focus
stripe,Stripe,greenhouse,stripe,https://stripe.com/jobs,https://stripe.com,US
anthropic,Anthropic,greenhouse,anthropic,https://job-boards.greenhouse.io/anthropic,https://www.anthropic.com,US
airbnb,Airbnb,greenhouse,airbnb,https://careers.airbnb.com,https://www.airbnb.com,US
coinbase,Coinbase,greenhouse,coinbase,https://www.coinbase.com/careers,https://www.coinbase.com,US
discord,Discord,greenhouse,discord,https://discord.com/careers,https://discord.com,US
figma,Figma,greenhouse,figma,https://www.figma.com/careers,https://www.figma.com,US
cloudflare,Cloudflare,greenhouse,cloudflare,https://www.cloudflare.com/careers,https://www.cloudflare.com,US
databricks,Databricks,greenhouse,databricks,https://www.databricks.com/company/careers,https://www.databricks.com,US
vercel,Vercel,greenhouse,vercel,https://vercel.com/careers,https://vercel.com,US
dropbox,Dropbox,greenhouse,dropbox,https://jobs.dropbox.com,https://www.dropbox.com,US
robinhood,Robinhood,greenhouse,robinhood,https://careers.robinhood.com,https://robinhood.com,US
block,Block,greenhouse,block,https://block.xyz/careers,https://block.xyz,US
lyft,Lyft,greenhouse,lyft,https://www.lyft.com/careers,https://www.lyft.com,US
openai,OpenAI,ashby,openai,https://jobs.ashbyhq.com/openai,https://openai.com,US
ramp,Ramp,ashby,ramp,https://jobs.ashbyhq.com/ramp,https://ramp.com,US
linear,Linear,ashby,linear,https://linear.app/careers,https://linear.app,US
notion,Notion,ashby,notion,https://jobs.ashbyhq.com/notion,https://www.notion.so,US
cursor,Cursor,ashby,cursor,https://jobs.ashbyhq.com/cursor,https://cursor.com,US
palantir,Palantir,lever,palantir,https://jobs.lever.co/palantir,https://www.palantir.com,US
wealthfront,Wealthfront,lever,wealthfront,https://jobs.lever.co/wealthfront,https://www.wealthfront.com,US
